,page_id,status,date,type,operator,registration,msn,first_flight,crew,passengers,total,aircraft_damage,location,phase,nature,departure_airport,destination_airport,narrative,time,engines,collision_casualties,aircraft_fate,crash_site_elevation,flightnumber,total_airframe_hrs,ground_casualties,operating_for,leased_from,cycles,operated_by,on_behalf_of
397,19730302-0,Final,Friday 2 March 1973,Douglas C-47-DL (DC-3),Arute International Air,N6574,4388,1942,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 20,Fatalities: 0 / Occupants: 23,Damaged beyond repair,San Salvador Airport (ZSA) (   Bahamas),Landing (LDG),Int'l Non Scheduled Passenger,"Miami International Airport, FL (MIA/KMIA), United States of America","San Salvador Airport (ZSA/MYSM), Bahamas",The pilot did not notice the windsock on the airport of San Salvador and landed downwind. The airplane overran the runway and ended up in the water.,18:50,2 Pratt & Whitney R-1830-92,,,,,,,,,,,
398,19730510-1,,Thursday 10 May 1973,Douglas DC-8-33,Thai Airways International,HS-TGU,45526/89,1960,Fatalities: 0 / Occupants: 10,Fatalities: 0 / Occupants: 100,Fatalities: 0 / Occupants: 110,Damaged beyond repair,Kathmandu-Tribhuvan Airport (KTM) (   Nepal),Landing (LDG),International Scheduled Passenger,?,"Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal","The DC-8, named ""Srisubhan"", touchdown far, overran the runway, and crossed a concrete drain.",,4 Pratt & Whitney JT4A-,,,,,43884,Fatalities: 1,,,,,
399,19730515-0,,Tuesday 15 May 1973,Vickers 827 Viscount,VASP - Viação Aérea São Paulo,PP-SRD,398,1958,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,"Salvador-Dois de Julho International Airport, BA (SSA) (   Brazil)",Landing (LDG),Scheduled Passenger,?,"Salvador-Dois de Julho International Airport, BA (SSA/SBSV), Brazil","The Viscount landed in heavy rain and veered off the left side of the runway, immediately after touchdown. The undercarriage collapsed.",,,,,,,,,,,,,
400,19730617-0,,Sunday 17 June 1973,Convair CV-240-0,ARCO - Aerolineas Colonia,CX-BHS,20,1948,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 39,Fatalities: 0 / Occupants: 42,Damaged beyond repair,Colonia Airport (CYR) (   Uruguay),Landing (LDG),Scheduled Passenger,?,"Colonia Airport (CYR/SUCA), Uruguay","The Convair touched down about 12 meters short of the runway 29 threshold. The airplane's left main landing gear struck a threshold light, causing the light to separate. The airplane then swerved off the side of the runway, causing the left main gear to collapse.",,,,,,,,,,,,,
401,19730630-0,,Saturday 30 June 1973,Tupolev Tu-134A,Aeroflot / Armenia,CCCP-65668,1351306,1971,Fatalities: 2 / Occupants: 7,Fatalities: 0 / Occupants: 78,Fatalities: 2 / Occupants: 85,Damaged beyond repair,Amman-Marka International Airport (ADJ) (   Jordan),Takeoff (TOF),International Scheduled Passenger,"Amman-Marka International Airport (ADJ/OJAM), Jordan","Beirut International Airport (BEY/OLBA), Lebanon","A Tupolev 134A passenger plane was damaged beyond repair in a takeoff accident at Amman (ADJ), Jordan. The airplane carried seven crew members and 78 passengers. All passengers and all but two crew members survived the accident. However, seven people inside a building died when the airplane collided.Aeroflot flight SU512 was departing from Amman on an international flight to Beirut (BEY), Lebanon and Moscow. The pilot-in-command had the impression that the speed dropped due to failure of one engine (although both engines were working normally) and aborted the takeoff at a speed of 265 km/h. V1 speed was calculated as 252 km/h. The Tu-134 overran the runway, came down the slope of a ravine, collided with trees and eventually struck a one-storey concrete building 290 metres behind the runway threshold and broke into three parts.",13:39,,,,,512,2822,Fatalities: 7,,,,,
402,19730705-0,,Thursday 5 July 1973,Hawker Siddeley HS-748-245 Srs. 2A,Avianca,HK-1408,1657,1968,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 40,Fatalities: 0 / Occupants: 44,Damaged beyond repair,Bucaramanga-Gomez Niño Airport (   Colombia),Landing (LDG),Domestic Scheduled Passenger,"Medellín-Enrique Olaya Herrera Airport (EOH/SKMD), Colombia","Bucaramanga-Gomez Niño Airport, Colombia","A Hawker Siddeley HS-748 passenger plane was damaged beyond repair in a runway excursion accident at Bucaramanga-Gomez Niño Airport.Due to rainfall at Bucaramanga, runway 10 was wet when the HS-748 approached the airport. The aircraft touched down 469 m past the threshold and started veering to the left for 312 m before corrective action was taken. The aircraft then veered to the right and aquaplaned off the runway when the pilot tried to ground loop. The aircraft continued through the perimeter fence, fell across a street and crashed into four houses. Three children were killed.",,,,,,,,Fatalities: 3,,,,,
403,19730829-1,,Wednesday 29 August 1973,Tupolev Tu-104A,CSA Ceskoslovenské Aerolinie,OK-MDE,86601202,1958,Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 62,Fatalities: 0 / Occupants: 70,Damaged beyond repair,Nicosia Airport (NIC) (   Cyprus),Landing (LDG),International Scheduled Passenger,"Damascus International Airport (DAM/OSDI), Syria","Nicosia Airport (NIC/LCNC), Cyprus","CSA Flight 531 landed at Nicosia's runway 14 and veered to the right, 150 m short of the runway end. The Tupolev struck 2 taxi lights and skidded down a 4 feet embankment. A fire started in the no. 1 engine, but was quickly contained by the fire services.",06:39,2 Mikulin AM-3M,,,,531,,,,,,,
404,19730906-0,,Thursday 6 September 1973,Fairchild F-27,Air Manila International,PI-C875,10,1958,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 20,Fatalities: 0 / Occupants: 24,Damaged beyond repair,Daet Airport (DTE) (   Philippines),Takeoff (TOF),Scheduled Passenger,"Daet-Camarines Norte Airport (DTE/RPUD), Philippines",?,"At a speed of 60 knots into takeoff, the nosegear steering failed, causing the aircraft to veer to the right. The F-27 ran off runway 06 and struck a pile of gravel, causing the nosegear and right main gear to collapse. The aircraft came to rest with the right wing broken and severe damage to nose and fuselage.",,,,,,,,,,,,,
405,19730910-0,Final,Monday 10 September 1973,Convair CV-990-30A-5 Coronado,California Airmotive Corp.,N7876,30-10-4,,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 4,Damaged beyond repair,Guam-Agana NAS (NGM) (   Guam),Landing (LDG),Ferry/positioning,"Jakarta-Kemayoran Airport (JKT), Indonesia","Guam-Agana NAS (NGM), Guam","After an ILS approach in marginal weather (heavy rainstorm), the aircraft touched down 500 m past the threshold. The Convair then veered to the left and collided with a GCA unit (1006 m past runway threshold and 45 to the left) and a fire fighting water wagon.",16:16,4 General Electric CJ805-23,,,,,,,,,,,
406,19731020-1,,Saturday 20 October 1973,Tupolev Tu-124V,"Aeroflot, Moscow Civil Aviation Directorate",CCCP-45031,2350901,1962,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Substantial,Kazan Airport (   Russia),Landing (LDG),Domestic Scheduled Passenger,?,"Kazan Airport, Russia","The aircraft touched down 430 m past the threshold on a runway covered with fresh snow. Braking was ineffective and the plane rolled off the runway, collided with an obstruction and stopped at a distance of 617 m from the runway end.The crew and passengers were unharmed, the plane received significant damage.",,2 Soloviev D-20P,,Written off (damaged beyond repair),,,,,,,,,
407,19731023-1,,Tuesday 23 October 1973,NAMC YS-11A-211,VASP - Viação Aérea São Paulo,PP-SMJ,2068,1968,Fatalities: 0 / Occupants: 5,Fatalities: 8 / Occupants: 60,Fatalities: 8 / Occupants: 65,Damaged beyond repair,"0,1 km (0.1 mls) off  Rio de Janeiro-Santos Dumont Airport, RJ (SDU) (   Brazil)",Takeoff (TOF),Domestic Scheduled Passenger,"Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil","Belo Horizonte-Pampulha Airport, MG (PLU/SBBH), Brazil","A temporary loss of power occurred 8 knots before the V1 speed, followed by an increase of the TGT (Turbine Gas Temperature) to the maximum. The takeoff was aborted immediately.Because braking action seemed poor, the emergency brakes were activated. Brakes were only effective on the right main gear, so the pilot ultimately retracted the gear when it seemed an overrun was imminent. The YS-11 continued and slid into Guanabara Bay.",08:50,,,,,012,,,,,,,
408,19731028-0,Final,Sunday 28 October 1973,Boeing 737-222,Piedmont Airlines,N751N,19548/114,1968-12-22  (4 years 10 months),Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 92,Fatalities: 0 / Occupants: 96,Substantial,"Greensboro/High Point Airport, NC (GSO) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Charlotte-Douglas Airport, NC (CLT/KCLT), United States of America","Greensboro/High Point Airport, NC (GSO/KGSO), United States of America","Piedmont Airlines Flight 20, a Boeing 737-200, ran off the end of runway 14 after landing at the Greensboro-High Point Airport, North Carolina. There were 92 passengers and 4 crewmembers aboard; 4 passengers and 1 flight attendant were injured slightly.Flight 20 made an ILS approach to runway 14 and touched down at a faster-than-normal airspeed 2,600 feet beyond the approach end of the runway, during heavy rain showers. The aircraft ran off the end of the runway, and the three landing gears collapsed as the aircraft crossed a service road, 640 feet beyond the runway.",22:21,2 Pratt & Whitney JT8D-7A,,Repaired,,20,9046,,,,,,
409,19731127-0,,Tuesday 27 November 1973,Vickers Varsity T.1,Royal Air Force - RAF,WF411,557,1952,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Damaged beyond repair,Little Rissington RAF Station (   United Kingdom),Landing (LDG),Military,?,"Little Rissington RAF Station, United Kingdom",The aircraft overshot the runway. It was serving with RAF CFS (Central Flying School).,,2 Bristol Hercules 264,,,,,,,,,,,
410,19731127-2,Final,Tuesday 27 November 1973,McDonnell Douglas DC-9-31,Eastern Air Lines,N8967E,47267/361,1968,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 21,Fatalities: 0 / Occupants: 26,Damaged beyond repair,"Akron/Canton Regional Airport, OH (CAK) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Pittsburgh International Airport, PA (PIT/KPIT), United States of America","Akron/Canton Regional Airport, OH (CAK/KCAK), United States of America","The DC-9 landed 12-27 knots too fast on runway 01, approx. 2400 feet down the runway. The aircraft overran the runway, traversed 110 feet of unpaved ground and plunged over a 38 feet embankment. Weather included low ceilings, light rain, fog, 1,5 mile visibility.",21:29,2 Pratt & Whitney JT8D-7,,,,EA300,15615,,,,,,
411,19731204-0,,Tuesday 4 December 1973,BAC One-Eleven 521FH,Austral Lineas Aéreas,LV-JNR,192,1969,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 68,Fatalities: 0 / Occupants: 74,Damaged beyond repair,"Bahía Blanca-Comandante Airport, BA (BHI) (   Argentina)",Initial climb (ICL),Domestic Scheduled Passenger,"Bahía Blanca-Comandante Espora Airport, BA (BHI/SAZB), Argentina","Trelew Airport, CB (REL/SAVT), Argentina","The crew noticed a power loss on the no. 1 engine shortly after lift-off. The aircraft lost height and a forced landing was carried out on the 950 m runway length remaining. The 1-11 was slowed down by Argentine Navy arresting cables (for A4Q aircraft). The cables broke however, damaging the aircraft and puncturing a fuel tank. The fuel ignited by friction sparks.",15:40,,,,,,,,,,,,
412,19731207-1,,Friday 7 December 1973,Tupolev Tu-104B,Aeroflot / Georgia,CCCP-42503,021901,1960,Fatalities: 5 / Occupants: 7,Fatalities: 11 / Occupants: 68,Fatalities: 16 / Occupants: 75,Destroyed,Moskva-Domodedovo Airport (DME) (   Russia),Approach (APR),Domestic Scheduled Passenger,"Mineralnye Vody Airport (MRV/URMM), Russia","Moskva-Domodedovo Airport (DME/UUDD), Russia","A Tupolev 104B passenger plane, operated by Aeroflot's Georgia division was destroyed in a landing accident at Moskva-Domodedovo Airport (DME), Russia. There were 68 passengers and seven crew members on board. Eleven passengers and five crew members died in the accident.Flight 964 took off from Kutaisi Airport (KUT), Georgia at 15:41, bound for Moskva-Domodedovo Airport (DME). Because of poor weather at Moscow, the flight diverted to Mineralnye Vody Airport (MRV) were it landed at 18:37. When the weather had improved, the flight took off at 20:43, again bound for Moscow.The flight was vectored for the approach to Domodedovo. During the approach the airplane was at first 100 m to the right of the localizer. This was overcorrected with the airplane being 60 m to the left of the localizer. The airplane approached the runway with a 10-15 degree bank to the right. Shortly before touchdown the movement to the right had to be arrested and the crew banked aggressively to the left at a 30-45 degree bank. The wing touched ground and the airplane touched down hard. It slid off the runway into the snow and caught fire.",22:29,2 Mikulin AM-3M-500,,Written off (damaged beyond repair),179 m (587 feet) amsl,964,18300,,,,10983,,
413,19731222-0,,Saturday 22 December 1973,Lockheed 414-08-10 Hudson IV,Adastra Airways,VH-AGX,6051,1942,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Damaged beyond repair,"Horn Island Airport, QLD (HID) (   Australia)",Takeoff (TOF),Unknown,"Horn Island Airport, QLD (HID/YHID), Australia",?,"Takeoff from Horn Island Airport, QLD (HID) was abandoned due to a loss of engine power. The airplane overran the runway and was considered damaged beyond repair. It was shipped to Melbourne in 1977 and rebuilt for RAAF Museum.",,,,,,,,,,,,,
414,19731223-1,,Sunday 23 December 1973,Sud Aviation SE-210 Caravelle VI-R,Cruzeiro do Sul,PP-PDV,120,1962-06-25  (11 years 6 months),Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 53,Fatalities: 0 / Occupants: 58,Damaged beyond repair,"Manaus/Ponta Pelada Airport, AM (   Brazil)",Landing (LDG),Domestic Scheduled Passenger,"Belém/Val-de-Cans International Airport, PA (BEL/SBBE), Brazil","Manaus/Ponta Pelada Airport, AM (PLL/SBMN), Brazil","The aircraft made a high and fast straight-in approach to runway 26. The aircraft touched down 848 m past the threshold, aquaplaned off the runway and went down a slope at a speed of 80 kts.",18:30,2 Rolls-Royce Avon 533R,,,,,,,,,,,
415,19740105-0,,Saturday 5 January 1974,Lockheed 18-56-23 Lodestar,Aeropesca Colombia,HK-1146,18-2327,1943,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 5,Damaged beyond repair,Bogotá-Eldorado Airport (BOG) (   Colombia),Landing (LDG),Training,"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","Bogotá-Eldorado Airport (BOG/SKBO), Colombia","The aircraft had carried out several takeoffs and landings at Flandes for co-pilot type training. During the last takeoff the landing gear failed to retract. The Lodestar returned to Bogotá were a flapless landing was carried out on runway 12. Braking attempts proved ineffective, causing the plane to depart the runway, coming to rest in a drainage ditch.It appeared that a pressure line in the hydraulic system was broken in the right landing gear well, causing a leak of hydraulic fluid.",10:20,,,,,,,,,,,,
416,19740107-1,,Monday 7 January 1974,Antonov An-12A,Indian Air Force - IAF,BL740,2401406,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Chennai Airport (MAA) (   India),Takeoff (TOF),Military,"Chennai Airport (MAA/VOMM), India",?,The aircraft lost directional control after one engine failed on take off. It hit a culvert and broke up.,,4 Ivchenko AI-20K,,,,,,,,,,,
417,19740118-0,Final,Friday 18 January 1974,Dassault Falcon 20C,Cauble Enterprises,N7824M,42,1966,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Damaged beyond repair,"Fort Worth-Meacham Field, TX (FTW) (   United States of America)",Landing (LDG),Executive,"Montgomery (unknown airport), AL, United States of America","Fort Worth-Meacham Field, TX (FTW/KFTW), United States of America","The pilot requested a straight in approach, but was cleared for a circling ILS approach. A rain shower passed the airport and an 8-knot 158-202 degree tailwind was present as the Falcon 20 approached the field. After touchdown the plane hydroplaned. The pilot did not deploy the drag chute and the plane overran the wet runway.",18:45,,,,,,,,,,,,
418,19740201-0,,Friday 1 February 1974,BAC One-Eleven 520FN,Transbrasil,PP-SDQ,228,1970,Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 88,Fatalities: 0 / Occupants: 96,Damaged beyond repair,"São Paulo-Congonhas Airport, SP (CGH) (   Brazil)",Landing (LDG),Scheduled Passenger,?,"São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil",The aircraft aquaplaned on landing rollout and was steered off the runway at a speed of 60 knots when an overrun was imminent.,,,,,,,,,,,,,
419,19740206-0,,Wednesday 6 February 1974,Douglas DC-6A,ALCON - Aerolineas Comerciales Nacionales,CP-947,44076/391,1953,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 4,Damaged beyond repair,San Juan (   Bolivia),Landing (LDG),Cargo,"San Juan Airport (SLJN), Bolivia",?,"The DC-6 returned to San Juan when the no. 4 engine had caught fire on climbout.The aircraft landed normally but veered left after 950 m and ran off the side, coming to rest 80 m from the runway edge with its nosegear collapsed.",,,,,,,,,,,,,
420,19740303-0,Final,Sunday 3 March 1974,Douglas DC-7CF,Aer Turas,EI-AWG,45471/965,1958,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 10,Damaged beyond repair,London-Luton Airport (LTN) (   United Kingdom),Landing (LDG),Cargo,"Dublin Airport (DUB/EIDW), Ireland","London-Luton Airport (LTN/EGGW), United Kingdom","The aircraft was operating a charter flight from Dublin to Luton, loaded with newspapers and equipment necessary for the conveyance of horses back to Dublin. The passengers were six grooms who were intended to accompany the horses on the return flight.During the uneventful flight from Dublin to the Luton area the pilot received a surface wind forecast for Luton of 300/06 knots. At midnight contact was established with Luton Approach. The pilot was given the Luton landing conditions as: 'QNH 1013.5, CAVOK, (ceiling and visibility OK) surface wind practically calm' and asked if he would accept radar positioning for a visual approach to runway 08, to which he agreed. The radar positioning was terminated at 00.04 hrs when the aircraft was cleared to Luton tower frequency with 'Six track miles to run' and the runway in sight.When the pilot contacted Luton Tower at 00.05 hrs, he was cleared to land on runway 08 and given the surface wind as 300 degrees 04 knots. He acknowledged this last transmission and there was no further communication with the aircraft.The evidence indicates that the approach path and speed were normal. The commander did not notice the Indicated Air Speed (IAS) immediately before touchdown but recalled that the initial approach was made at approximately 130 knots IAS reducing to the target threshold speed of 115 knots as the flaps extended.The aircraft touched down at an IAS of 105 knots. The commander was of the opinion that, despite a tendency to float, the aircraft touched down at the correct distance down the runway, and, as soon as it had done so, he called for reverse thrust immediately the aircraft was on the runway. On receiving the commander's order, the engineer selected reverse thrust on numbers 2 and 3 engines followed by numbers 1 and 4 whilst monitoring the engine instruments. The commander was familiar with this method of selecting reverse which was the technique normally used in the company. The flight engineer did not see the blue warning lights illuminate to indicate that the propellers were moving into reverse pitch, he therefore selected Nos 1 and 4 propellers to forward pitch, with throttles closed, in case the reason for the malfunction was an electrical overload due to operation of all four feathering/reversing pumps at low engine rpm. The commander had also noticed that the blue lights had not illuminated and, seeing that Nos 1 and 4 propellers were selected to forward pitch, called 'reverse all engines'. In response to his order the engineer made the required selection and all four throttle levers were seen to be in the reverse quadrant by the operating crew, although no blue lights were noted. The aircraft was not decelerating during this period and that no reverse thrust was achieved.The commander ordered the engineer to 'put them in the middle', thus to cancel the reverse thrust selections. There were two short periods of engine acceleration during the landing roll.The commander assisted by the first officer applied the toe brakes, assessed them to be ineffective and, as the aircraft was still not decelerating, applied the emergency pneumatic brakes by turning the operating handle to 'on'. The commander did not notice any deceleration and, consequently, did not follow the procedure of selecting them alternatively to 'hold' and to 'on'. All four main wheels locked, the tyres burst and further retardation from the brakes was lost. Sparks and smoke were seen emanating from the area of the undercarriage when the aircraft approached the end of the runway. When it became apparent that the aircraft would overrun the runway the commander called to have the 'switches' put to 'OFF'. The flight engineer selected the ignition switches off before the aircraft left the end of the runway and ploughed across the overrun area. It was still travelling fast enough to follow a trajectory off the top of the bank at the end of the runway leaving no wheel marks down the slope. The aircraft stopped in soft ground 90 metres from the end of the runway at the foot of the bank having demolished part of the aerodrome fence and some of the approach lights.All persons on board abandoned the aircraft without delay. As the flight engineer was leaving via the right hand side crewdoor, he noticed a small fire under the number 3 engine. He returned to the cockpit, pulled the firewall shut-off controls and discharged a fire extinguisher to all four engines.",00:08 UTC,4 Wright R-3350 (988TC18),,,,,,,,,,,
421,19740401-0,Final,Monday 1 April 1974,Boeing 707-437,Air-India,VT-DNZ,18415/282,1962-04-12  (12 years),Fatalities: 0 / Occupants: 12,Fatalities: 0 / Occupants: 32,Fatalities: 0 / Occupants: 44,Substantial,Hong Kong-Kai Tak International Airport (HKG) (   Hong Kong),Landing (LDG),International Scheduled Passenger,"Tokyo-Haneda Airport (HND/RJTT), Japan","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong","The aircraft was on a scheduled passenger flight from Tokyo to Hong Kong . Following an Instrument Guidance System Visual approach to Hong Kong the aircraft made a firm landing on a wet runway with tail and cross wind components and despite the application of rudder, full braking and reverse-thrust, slid-off the runway coming to rest on the grass shoulder. None of the crew or passengers was injured although the aircraft sustained extensive damage when the right main gear collapsed.",,,,Repaired,,,,,,,,,
422,19740403-0,Final,Wednesday 3 April 1974,Dornier Do 28D-1 Skyservant,Munz Northern Airlines,N3799,40..,,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 2,Substantial,"Elim, AK (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Nome Airport, AK (OME/PAOM), United States of America","Elim Airport, AK (ELI/PFEL), United States of America",Overran runway on landing; hit snow berm and a snow machine.,09:00,,,Written off (damaged beyond repair),,,,,,,,,
423,19740409-0,,Tuesday 9 April 1974,Yakovlev Yak-40,"Aeroflot, Privolzhsk Civil Aviation Directorate",CCCP-87369,9341931,1973,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 31,Fatalities: 0 / Occupants: 34,Substantial,Kazan Airport (KZN) (   Russia),Takeoff (TOF),Domestic Scheduled Passenger,"Kazan Airport, Russia",?,"The Yak-40 suffered an accident on takeoff from Kazan Airport.After receiving permission to take off, the ship's commander taxied to the runway and line up at an intersection with a remaining runway length of 1150 m. When the engines were set to take-off power, the no.2 engine had to be reduced to 90% for stable operation. When take off was initiated, an Antonov An-24 was going around, forcing the crew to stop the takeoff roll after 150 m.Despite the remaining limited portion of the runway (1000 m) and engine malfunction, the captain decided to recommence the takeoff. After a 960 m the rotation speed had not been reached and the pilot rejected the takeoff.  The aircraft suffered a runway excursion and stopped 197 m past the runway, after colliding with an obstacle.Some passengers and crew were injured.",,3 Ivchenko AI-25,,Written off (damaged beyond repair),,,,,,,,,
424,19740420-1,,Saturday 20 April 1974,Douglas C-47A-30-DL (DC-3),Air Union,XW-TFL,9559,1943,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Svay Rieng Airport (SVR) (   Cambodia),Landing (LDG),Non Scheduled Passenger,?,"Svay Rieng Airport (SVR), Cambodia",The DC-3 swung off the runway and collided with small wooden huts.,,,,,,,,Fatalities: 6,,,,,
425,19740428-1,,Sunday 28 April 1974,de Havilland Canada DHC-6 Twin Otter 300,Air America,N389EX,251,1969,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 10,Damaged beyond repair,Sala Phou Koun (   Laos),Landing (LDG),Domestic Non Scheduled Passenger,"Long Tieng Airstrip, Laos","Sala Phou Koun Airstrip, Laos",Overran and nosed over after landing on a short strip.,10:39,2 Pratt & Whitney Canada PT6A-27,,,,,,,,,,,
426,19740430-2,,Tuesday 30 April 1974,Fokker F-27 Friendship 200,Burma Airways,XY-ADM,10237,1963,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 36,Fatalities: 0 / Occupants: 40,Damaged beyond repair,Bassein Airport (BSX) (   Myanmar),Landing (LDG),Scheduled Passenger,?,"Bassein Airport (BSX/VYPN), Myanmar",Overran following a late touchdown. The nosegear collapsed.,,,,,,,19441,,,,20658,,
427,19740502-1,,Thursday 2 May 1974,Yakovlev Yak-40,"Aeroflot, Central Region Civil Aviation Directorate",CCCP-87398,9411033,1974,Fatalities: 1 / Occupants: 4,Fatalities: 0 / Occupants: 34,Fatalities: 1 / Occupants: 38,Damaged beyond repair,Rostov Airport (ROV) (   Russia),Takeoff (TOF),Domestic Scheduled Passenger,"Rostov Airport (ROV/URRR), Russia","Mineralnye Vody Airport (MRV/URMM), Russia","The Yak-40 attempted a takeoff from a wet grass runway (length 1,080 metres) at Rostov. The airplane was not able to lift off and the pilot decided to abort the takeoff. However, the jet failed to stop on the remaining runway and overran by 185 metres. It collided with a hummock, broke up and came to rest in a ravine.The aircraft operated on a flight from Lipetsk to Mineralnye Vody with an en route stop at Rostov.",14:10,3 Ivchenko AI-25,,,,1255,124,,,,111,,
428,19740509-1,,Thursday 9 May 1974,Ilyushin Il-18V,"Aeroflot, Uralsk Civil Aviation Directorate",CCCP-75425,181003403,1961,Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 67,Fatalities: 0 / Occupants: 75,Damaged beyond repair,Ivano-Frankovsk Airport (IFO) (   Ukraine),Landing (LDG),Domestic Scheduled Passenger,"Kiev-Borispol Airport (KBP/UKBB), Ukraine","Ivano-Frankovsk Airport (IFO/UKLI), Ukraine","The pilot mistakenly landed on an airstrip only 500 m long used by agricultural aircraft. The Ilyushin overran into a ravine and broke in two. Visibility at the time was limited to 2000 m horizontal and 900 m vertical.The Il-18 operated on a flight from Sverdlovsk to Ivano-Frankovsk with an en route stop at Kiev-Borispol Airport. The original destination for the flight was Lvov, but this airport was closed because of reconstruction of the runway. Flight were then rerouted to Ivano-Frankovsk. The crew had never flown to Ivano-Frankovsk.",,4 Ivchenko AI-20K,,,,,19767,,,,8373,,
429,19740519-1,Final,Sunday 19 May 1974,Armstrong Whitworth AW-650 Argosy 101,United States Department of Interior,N891U,6655,1959-07-20  (14 years 10 months),Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 6,Damaged beyond repair,"Anchorage-Campbell Airstrip, AK (   United States of America)",Takeoff (TOF),Fire fighting,"Anchorage-Campbell Airstrip, AK, United States of America","Aniak Airport, AK (ANI/PANI), United States of America","Takeoff from runway 20 was aborted because the aircraft was unable to get airborne. The Argosy overran by 630 m and ended up in a wooded area, catching fire. It appeared that the takeoff was attempted with the external gust-locks installed on the elevator.",09:20,4 Rolls-Royce Dart 526,,,,,,,,,,,
430,19740805-2,,Monday 5 August 1974,Douglas C-47B-25-DK (DC-3),Ethiopian Airlines,ET-ABE,32846/16098,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Mota Airport (OTA) (   Ethiopia),Landing (LDG),Unknown,?,"Mota Airport (OTA/HAMO), Ethiopia",Overshot the runway on landing. Damaged beyond repair.,,2 Pratt & Whitney R-1830-90C,,,,,25067,,,,,,
431,19740911-0,Final,Wednesday 11 September 1974,Boeing 727-41,Varig,PP-VLH,20424/817,1970-10-05  (3 years 11 months),Fatalities: 0 / Occupants: 8,Fatalities: 0 / Occupants: 76,Fatalities: 0 / Occupants: 84,Substantial,"Recife International Airport, PE (REC) (   Brazil)",Landing (LDG),Domestic Scheduled Passenger,"Natal Airport, RN (NAT/SBNT), Brazil","Recife International Airport, PE (REC/SBRF), Brazil",The aircraft landed long and fast (Vref +40 kts) in poor visibility and heavy rain conditions. The aircraft overran the runway.,20:50,3 Pratt & Whitney JT8D-9A,,Repaired,,,,,,,,,
432,19741101-0,,Friday 1 November 1974,Handley Page Jetstream T.1,Royal Air Force - RAF,XX477,249,1970-09-18  (4 years 2 months),Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Damaged beyond repair,Little Rissington RAF Station (   United Kingdom),Landing (LDG),Military,?,"Little Rissington RAF Station, United Kingdom",Overran the runway; damaged beyond repair.,,,,,,,,,,,,,
